SC,JP,EN,VN,Comment
自0]那么你就是这里的管理员咯？,自0]では貴方はここの管理人さんですね？,"自0]So, you're the librarian here?",自0]Vậy ra ngươi chính là quản lý viên của nơi này nhể?,
敌34]我是被主人委派的暂时掌管这里的恶魔呢。,敌34]主に任せられて、しばらくここを管理する悪魔です。,敌34]I am the devil assigned by the master to take care of the library temporarily. ,敌34]Ta là ác ma kẻ được chủ nhân cắt cử để tạm thời trông nom nơi này đó.,
自3]恶魔？那就是妖怪吧！,自3]悪魔？妖怪の類ね！,"自3]Devil? A Youkai, then!",自3]Ác ma? Vậy chính là yêu quái nhỉ!,
敌34]和一般的妖怪差很多呢。,敌34]普通の妖怪とは大分違いますよ。,敌34]There's a big difference between a devil and a regular Youkai.,敌34]Khác rất nhiều với yêu quái thông thường đấy.,
自1]不管怎么样，这里充满着邪恶的气息……,自1]何と言っても、邪なる気配がここに満ち溢れて…,"自1]Anyhow, I smell evil here...","自1]Dù nói thế nào, nơi này cũng đầy tràn hơi khí tà ác…",
自0]看来外面的异变一定是和你们有关咯。,自0]外の異変は貴方たちと関係があるに違いないね。,自0]You guys must have something to do with the incident.,自0]Xem ra dị biến bên ngoài nhất định là có liên quan với các ngươi nhể.,
敌34]外面的世界就算主人也懒得搭理，我更不可能插手喔。,敌34]主ですら外の世界とやり取る気がありませんし、わたしに至ってはもっと何かをするはずがありません。,"敌34]My master would never care for the outside world, and neither would I.","敌34]Thế giới bên ngoài cho dù chủ nhân thì cũng chả thèm mắc mớ, ta càng không thể nào nhúng tay.",
自0]那么请你让我过去，不然空手回去我可不愿意哦。,自0]では通らせてください。手ぶらで帰るなんてしたくないわ。,"自0]Then just let me in, I'm not going to head back empty-handed. ","自0]Như vậy thì xin ngươi để ta đi qua với, nếu không, tay trắng trở về ta thực là không bằng lòng.",
MUSIC,MUSIC,MUSIC,MUSIC,
敌33]随便进来就想随便出去，没那么容易喔。,敌33]勝手に侵入して勝手に出る程、容易くありませんよ。,敌33]Don't think you can just come and go as you please.,"敌33]Tùy tiện vào đây rồi liền muốn tùy tiện đi ra, chẳng dễ dàng như vậy đâu.",
自2]看来又是一个麻烦的家伙啊……,自2]また面倒くさいやつね…,"自2]Oh, more trouble...",自2]Xem ra lại là một tên phiền phức đây…,
PAUSE,PAUSE,PAUSE,PAUSE,
,,,,
d414.txt,,,,
自1]我离开没多长时间这里就一团糟了呢。,自1]暫く居ない間に滅茶苦茶になったね。,自1]I only left for a couple hours and look at this place. ,自1]Ta rời đi trong thời gian không bao lâu mà nơi này liền rối beng rồi nhỉ.,
敌31]帕秋莉大人，总算回来了呢……,敌31]パチュリーさま、ようやくお戻りになられました…,敌31]Master Patchouli! Finally...,"敌31]Ngài Patchouli, cuối cùng ngài cũng trở về rồi…",
自0]怎么，你也沾上那股奇怪的气息了。,自0]どうした、貴女にもあの変な気配が付いている。,自0]Hmm? You're also covered in that strange scent.,自0]Làm sao.. ngươi cũng dính phải làn hơi khí kỳ lạ kia rồi.,
敌32]诶？为什么？,敌32]え？どうしてですか？,敌32]What? Why?,敌32]Hể? Là sao?,
自0]我用魔法过滤了外界的空气，发现了一些不明的成分……,自0]魔法で外の空気を濾過する内、不明な成分を発見した…,自0]I filtered the air outside with magic and found something strange...,"自0]Trong khi dùng ma pháp để lọc không khí bên ngoài, ta đã phát hiện một vài thành phần bất minh…",
自0]这些成分在妖怪身上集聚，似乎会让妖怪的能力暂时变强许多……,自0]こういった成分が妖怪の身に集い、どうやら一時的に妖怪の能力を多く強化できる…,"自0]By clinging onto the Youkai, these things make them stronger temporarily...","自0]Những thành phần này tích tụ trên người yêu quái, hình như sẽ khiến năng lực của yêu quái tạm thời biến cường rất nhiều…",
自0]但显然不是好东西呢。,自0]でも明らかに良い物ではないね。,自0]But clearly it's nothing good.,自0]Nhưng hiển nhiên không phải điều tốt đâu.,
敌32]诶？这样的话要怎么办？,敌32]え？どうすればいいんですか？,敌32]Then what should I do about it?,敌32]Hể? Nếu mà như vậy thì phải làm sao?,
MUSIC,MUSIC,MUSIC,MUSIC,
自0]只要和我战斗就好了。,自0]私と戦えばいい。,自0]Just fight.,自0]Chỉ cần chiến đấu với ta là được thôi.,
敌30]战斗？,敌30]戦い？,敌30]Fight?,敌30]Chiến đấu?,
自0]我可以把你身上的气息清除掉。,自0]貴方に集う気配をクリアすることは可能だ。,自0]I can help you get rid of that strange scent.,自0]Ta có thể thanh trừ hết hơi khí trên người ngươi.,
自0]因为如果让它集聚得太多的话，说不定就会暴走。,自0]溜まりすぎると、暴走するかも知れないから,自0]You'll lose yourself if you let it build up.,"自0]Bởi vì nếu mà để nó ứ đọng quá nhiều, nói không chừng thì ngươi sẽ bị cuồng loạn.",
敌30]诶？！那我要怎样战斗呢？,敌30]え？！どうやって戦えばいいんですか？,敌30]What?! But how do I deal with it?,敌30]Hể?! Vậy tôi phải chiến đấu như thế nào chứ?,
自0]努力使用我教你的魔法吧。,自0]頑張って私が教わった魔法を使うがいい。,自0]Try to use the magic I taught you.,自0]Hãy cố gắng sử dụng ma pháp mà ta dạy ngươi đi.,
敌32]这样真的可以吗……,敌32]本当によろしいんですか…,敌32]I'm not sure...,敌32]Như vậy có thực là ổn không đây…,
PAUSE,PAUSE,PAUSE,PAUSE,
,,,,
d501.txt,,,,
敌33]绝对……,敌33]絶対…,敌33]Never...,敌33]Tuyệt đối…,
敌33]绝对……不能……,敌33]絶対に…,敌33]Never... Never...,敌33]Tuyệt đối… không thể…,
敌33]绝对不能放过你！,敌33]絶対に逃がさない！,敌33]I will never let you go unpunished!,敌33]Tuyệt đối không thể buông tha!,
,,,,
d502.txt,,,,
敌33]绝对……,敌33]絶対…,敌33]Never...,敌33]Tuyệt đối…,
敌33]绝对……不能……,敌33]絶対に…,敌33]Never... Never...,敌33]Tuyệt đối… không thể…,
敌33]绝对不能放过你！,敌33]絶対に逃がさない！,敌33]I will never let you go unpunished!,敌33]Tuyệt đối không thể buông tha!,
,,,,
d503.txt,,,,
敌33]绝对……,敌33]絶対…,敌33]Never...,敌33]Tuyệt đối…,
敌33]绝对……不能……,敌33]絶対に…,敌33]Never... Never...,敌33]Tuyệt đối… không thể…,
敌33]绝对不能放过你！,敌33]絶対に逃がさない！,敌33]I will never let you go unpunished!,敌33]Tuyệt đối không thể buông tha!,
,,,,
d504.txt,,,,
自1]刚才的清除失败了么……,自1]先のクリアが失敗したか…,自1]The extermination failed...?,自1]Sự thanh trừ ban nãy thất bại rồi sao…,
自0]看来还得再来一次呢。,自0]もう一回が必要だね。,自0]Looks like I have to start over.,自0]Xem ra còn phải làm một lần nữa nhỉ.,
敌33]总觉得……充满了战斗的欲望……,敌33]戦いの欲望は…満ちていく…そんな気がする…！,敌33]I'm... eager to fight...,敌33]Ta cảm thấy… dâng trào ham muốn chiến đấu sao sao rồi ấy…,
,,,,
d511.txt,,,,
敌42]总算轮到我了呢。,敌42]ようやく私の番だな。,敌42]Finally! It's my turn!,敌42]Cuối cùng cũng đến phiên tôi rồi nhỉ.,
自1]果然是你们搞得鬼啊，幻想乡空气质量杀手！,自1]やっぱりあんたらの悪巧みね、幻想郷空気汚染源め！,自1]So it is you guys! The ones responsible for ruining Gensokyo's air!,"自1]Quả nhiên là các ngươi giở trò, sát thủ chất lượng không khí Ảo Tưởng Hương!",
敌45]呵呵，不管怎么样这次机会大小姐不会轻易放过的。,敌45]ふふ、今回のチャンスをお嬢様は何としても逃さないよ。,"敌45]Hehe, milady will not waste this opportunity.","敌45]Hề hề, cho dù thế nào, cơ hội lần này đại tiểu thư sẽ không dễ dàng bỏ qua đâu.",
自3]我才不在意你们怎么样呢，至少别给我添麻烦啊。,自3]あんたらの都合なんか聞いてない。面倒掛けるんじゃないわよ。,"自3]I don't care what you guys are up to, just don't get in my way.","自3]Ta còn chả thèm để ý các ngươi như thế nào ấy, chí ít đừng đưa ta thêm phiền toái nữa.",
敌44]说反了吧，明明是你自找麻烦。,敌44]その逆だろ？自ら面倒に突っ込んだくせに,敌44]You're the one looking for trouble.,"敌44]Nói ngược rồi đó, rõ ràng là cô tự tìm phiền toái.",
自2]你们这群家伙，总是想找点存在感呢。,自2]あんたらね、いつも存在感が欲しいね。,"自2]You people, always desperate for attention, huh?","自2]Đám người các ngươi kia, lúc nào cũng thích gây sự chú ý hả.",
敌42]是吗，红魔馆已经有一段时间没有活着的人出去了呢。,敌42]そう？紅魔館からは暫く生きて出た人がないよ。,"敌42]Is that so, It's been a while since the last time a living person walked out of Scarlet Devil Mansion.","敌42]Thế à, Hồng Ma Quán đã có một quãng thời gian không có người còn sống mà ra ngoài rồi đó.",
自1]诶？我有看到魔理沙从图书馆偷溜回来哦。,自1]え？魔理沙が図書館から潜り出たのを見たけどよ。,自1]Really? I saw Marisa sneak in from the library.,自1]Ể? Ta có thấy Marisa lẻn ra từ thư viện mà trở về đó nha.,
敌42]……,敌42]……,敌42]…,敌42]…,
敌40]好吧，不必再浪费口舌了。,敌40]もういい、無駄話はいらん。,"敌40]Well, then I have nothing to say.","敌40]Đủ rồi, không cần lãng phí miệng lưỡi nữa.",
MUSIC,MUSIC,MUSIC,MUSIC,
敌41]这一次，为了让大小姐顺利完成计划……,敌41]今度こそ、お嬢様の計画、成就の為に…！,"敌41]This time, to complete milady's plan more smoothly...","敌41]Lần này, nhằm để đại tiểu thư suôn sẻ hoàn thành kế hoạch…",
敌41]我不会让你留下残机的喔。,敌41]1残機すら残させはしない！,敌41]None shall remain alive.,"敌41]Tôi sẽ không để cho cô giữ lại ""cái mạng"" nào đâu.",
自0]谁信啊？,自0]誰が信じるか？,自0]I'm not buying it.,自0]Ai tin à?,
PAUSE,PAUSE,PAUSE,PAUSE,
,,,,
d512.txt,,,,
自2]哟，好久不见，扫地的。,自2]よ、久しぶり、床掃き！,"自2]Hey, long time no see, cleaner.","自2]Yzô, lâu lắm không gặp, cô quét sàn.",
敌42]喲，好久不见，偷书贼。,敌42]よ、久しぶり、本泥棒。,"敌42]Hey, long time no see, book thief.","敌42]Yzô, lâu lắm không gặp, quân trộm sách.",
自2]借书不算偷喔！,自2]借りは盗みの数に入らないよ！,自2]Stealing books isn't theft!,自2]Mượn sách đâu tính là trộm đâu!,
敌41]……,敌41]……,敌41]…,敌41]…,
敌44]看来对你这种家伙不能用正常的逻辑呢。,敌44]貴様のような奴には通常のロジックが通じないようだね。,敌44]How wrong of me to compare you to normal people.,敌44]Xem ra đối với bọn nhà ngươi thì không thể dùng lô-gích bình thường nhỉ.,
自3]不管怎么样，对付你还是绰绰有余的！,自3]だからなんだ？お前の相手なら余裕たっぷり！,"自3]Anyway, I can definitely handle you.",自3]Thế rồi thì sao nào? Đối phó ngươi thì sức ta dư dả chán.,
敌40]那可不一定呢。,敌40]どうかな。,敌40]I wouldn't be so confident.,敌40]Chưa chắc đâu nhé.,
自0]喂，我可是打败过你的喔，别不算数啊。,自0]おいおい、倒したことあんだろ？とぼけんなよ。,"自0]Hey, I've defeated you before, haven't I?","自0]Này, ta thực đã từng đánh bại ngươi đấy, chớ không tính đến đi.",
敌45]以前是以前，现在是现在，版本不同了呢。,敌45]以前は以前、現在は現在。バージョンは違うよ。,"敌45]Things are different now, It's a whole new game.","敌45]Trước kia là trước kia, bây giờ là bây giờ, phiên bản game đã bất đồng rồi.",
自1]哈？这算什么嘛！,自1]は？なにそれ！,自1]What? What's that supposed to mean!,自1]Hả? Thế tức là sao hả?,
MUSIC,MUSIC,MUSIC,MUSIC,
敌41]总之，为了大小姐能顺利完成计划……,敌41]とにかく、お嬢様の計画の完成が為に…,敌41]For milady to complete her plan...,"敌41]Tóm lại, nhằm đại tiểu thư có thể suôn sẻ hoàn thành kế hoạch…",
敌45]准备好满身疮痍吧！,敌45]満身創痍になれ！,敌45]Get ready to die!,"敌45]Hãy chuẩn bị để cho ""Thương tật Đầy mình"" đi!",
自4]来吧，我已经迫不及待了DA☆ZE！,自4]こいよ、待ちくたびれDA☆ZE！,"自4]Come on, I can't wait, DA ZE!","自4]Tới đi, ta đã chờ mòn mỏi lắm rồi ĐA☆ZỀ!",
PAUSE,PAUSE,PAUSE,PAUSE,
,,,,
d513.txt,,,,
自2]总算从那阴暗的地方出来了呢。,自2]ようやくあの暗い場所から出たわ。,自2]Finally got out of that hell hole.,自2]Cuối cùng cũng ra khỏi cái chốn âm u kia rồi.,
敌40]趁现在好好欣赏下这美丽的夜色吧。,敌40]今の内にどうぞ美しき夜色を堪能しなさい。,敌40]You'd better take in this beautiful night while you can.,"敌40]Nhân lúc còn bây giờ, hãy thưởng thức lấy cảnh đêm mỹ lệ này cho tốt đi.",
自2]话说，你穿着女仆装难道是在cosplay？,自2]なにそのメイド服、もしかして、コスプレ？,"自2]Say, is that some sort of costume you're wearing?","自2]Này, ngươi mặc đồ hầu gái đây chẵng lẽ là đang cosplay?",
敌41]真是无礼啊。,敌41]無礼な。,敌41]How rude.,敌41]Thật là vô lễ.,
敌41]我是这里的女仆长——十六夜咲夜。,敌41]私こそここのメイド長――十六夜　咲夜だ。,"敌41]I am Sakuya Izayoi, the head maid here.",敌41]Tôi là Izayoi Sakuya - Trưởng hầu gái nơi này.,
自0]也是妖怪么？,自0]貴方も妖怪ですか？,自0]Youkai?,自0]Ngươi cũng là yêu quái sao?,
敌40]是人类呢。,敌40]人間だ。,"敌40]No, human.",敌40]Tôi là con người cơ.,
自2]人类？！为什么会待在这么危险的破地方……,自2]人間？！どうしてそんな危険でおんぼろなところにいるの…,自2]A human?! My goodness! Why would a human live in such a TERRIBLE place?,自2]Con người?! Tại sao phải lưu lại ở cái chốn tồi tệ nguy hiểm như vầy?,
敌42]不仅是待在这，实际上也负责所有的事务呢。,敌42]いるだけではない。実際、全ての事務も担当している。,"敌42]I not only live here, I am also in charge of all kind of things here.","敌42]Không những là lưu lại ở đây, mà trên thực tế tôi còn phụ trách tất cả công việc đó.",
自0]那你是妖怪的手下？,自0]では、妖怪の手下さん？,自0]Then you're like a subordinate of the Youkai?,自0]Vậy ngươi là thủ hạ của yêu quái?,
敌40]说来话长哦。,敌40]話せば長い。,敌40]It's a long story.,敌40]Nói ra thì dài dòng đấy.,
自0]嘛，算了，我是来寻找异变的源头的。,自0]まあいいわ、異変の源を探しに来たし。,"自0]Well, I'm here looking for the root of the incident.","自0]Chà, thôi vậy, ta thì là đến đây tìm ngọn nguồn của dị biến.",
敌40]那看来你来得不是时候呢。,敌40]ならタイミングが良くないね。,敌40]I'm sorry to inform you that now is a bad time to visit.,敌40]Vậy xem ra cô đến không đúng lúc nhỉ.,
自0]这样可不行哦，我好歹跑了这么远……,自0]それはだめです、せっかくこんなに遠くまで走ったのに…,自0]That's not a nice thing to do. I've come a long way to get here...,"自0]Như vậy thì thực là không được đâu, ta cũng đã cất công chạy xa như này…",
MUSIC,MUSIC,MUSIC,MUSIC,
自3]不让我见到最终BOSS才不会走呢！,自3]ラスボスに会わずに帰るもんか！,自3]I'm not leaving until I see the last boss!,自3]Không để ta thấy BOSS cuối thì ta sẽ không chịu đi đâu!,
敌45]那就试试看能不能摆脱我吧。,敌45]ならばこちらを振り切ってみよう。,"敌45]Then try to get past me, if you can.",敌45]Vậy thì thử tí xem ngươi có thể thoát khỏi ta hay không nào.,
敌45]顺便让你享受下被时间束缚的感觉！,敌45]ついでに、時間が縛れる感覚を味あわせてやる！,"敌45]Meanwhile, please enjoy the chains of time! ",敌45]Tiện thể cho ngươi nếm trải cảm giác bị thời gian trói buộc!,
PAUSE,PAUSE,PAUSE,PAUSE,
,,,,
d514.txt,,,,
敌40]这么晚了不待在图书馆吗？,敌40]こんなに夜遅くに、図書館に居なくてよろしいんですか？,敌40]Isn't it too late for you to be away from the library?,敌40]Trễ thế này rồi mà ngài không lưu lại ở thư viện sao?,
自0]图书馆需要好好打扫一下了。,自0]図書館にはきちんと掃除すべきよ。,自0]The library needs a little cleaning.,自0]Thư viện cần quét dọn một lát cho sạch rồi.,
敌40]早上已经打扫好了喔，莫非……,敌40]朝は掃除しました。まさか…,"敌40]I finished cleaning this morning, unless...","敌40]Buổi sáng tôi đã quét dọn sạch rồi mà, chẳng lẽ…",
自0]已经是一团糟了啊。,自0]もう滅茶苦茶よ。,自0]It's already a total mess.,自0]Đã rối tinh rối mù cả rồi.,
敌40]也不知道那家伙有没有在好好看门呢。,敌40]あいつはちゃんと見張っているかどうかね。,敌40]I wonder if she's doing a good job as the doorkeeper...?,敌40]Cũng không biết tên kia có đang coi cửa đàng hoàng hay không đây.,
自0]没觉得空气中有些异样吗？,自0]空気が異常だと思わない？,自0]Haven't you felt a certain abnormality in the air?,自0]Ngươi không cảm thấy trong không khí có vài cái khác thường sao?,
敌40]异样？我完全没有感觉到。,敌40]異常？全く感じませんでしたが。,敌40]Abnormality? I haven't felt a thing at all.,敌40]Khác thường? Tôi hoàn toàn không hề cảm thấy được gì.,
自1]毕竟你不是妖怪呢。,自1]それもそうね、妖怪ではないから。,自1]You're not a Youkai after all.,自1]Dẫu sao ngươi cũng không phải là yêu quái nhỉ.,
自0]话说蕾米莉亚在干什么？,自0]そう言えば、レミは何をしている？,"自0]Say, what's Remilia up to?",自0]Nói lại thì Remilia đang làm gì thế?,
敌45]不知道，不过说是很重要的事情。,敌45]存じておりません。ただ、とっても大事なことだと。,"敌45]I don't know, but it is very important according to milady.","敌45]Tôi không biết, nhưng ngài ấy bảo là chuyện rất quan trọng.",
自0]说起来，我发现奇怪的气息在朝那边移动呢。,自0]そう言えば、変な気配があちらに移動しているね。,自0]I get this feeling that the strange scent is moving over that way.,"自0]Nhắc đến thì, ta phát hiện hơi khí kỳ lạ đang di chuyển về bên kia.",
自0]看来得好好问问那家伙了……,自0]しかと奴を問おう方が…,自0]I need to talk to her...,自0]Xem ra cần phải hỏi cho rõ bà này rồi…,
敌41]这个……,敌41]それは…,敌41]Well...,敌41]Cái này…,
敌41]大小姐吩咐过了，任何人都不能擅自进去呢。,敌41]お嬢様の言いつけでございます。何者にも、入れさせるな、と。,敌41]Milady's orders are that nobody gets in.,"敌41]Đại tiểu thư đã căn dặn qua, bất kỳ ai cũng không thể tự tiện đi vào đâu.",
自1]是吗，这样就更可疑了……,自1]そう。なおさら疑わしいね…,自1]Is that so? It sounds suspicious to me...,自1]Thế sao? Như vậy thì càng khả nghi nữa…,
自0]所以没有可以进去的路了吗？,自0]だから、入る道はない？,"自0]So, no way in, huh?",自0]Cho nên không có đường nào khả dĩ để đi vào rồi à?,
MUSIC,MUSIC,MUSIC,MUSIC,
敌40]看来让您进去的办法只有打败我了。,敌40]道はただ一つ、私を倒すこと。,敌40]Looks like you'll have to beat me first.,敌40]Xem ra biện pháp để cho ngài đi vào thì chỉ còn nước đánh bại tôi rồi.,
敌40]大小姐的吩咐，我是不能轻易违背的。,敌40]お嬢様の言いつけ、破る訳にはいきません。,敌40]You know I can't easily violate milady's orders.,"敌40]Lời căn dặn của đại tiểu thư, tôi không thể tùy tiện làm trái được.",
自2]话虽如此，但我也不能放任她乱来的喔。,自2]とは言え、彼女を野放しには出来ないよ。,"自2]But, I can't just let her do whatever she wants.","自2]Lời tuy như thế, nhưng ta cũng không thể để mặc cô ta làm càn được.",
PAUSE,PAUSE,PAUSE,PAUSE,
,,,,
d601.txt,,,,
敌03]果然你也追到这里来了呢。,敌03]やっぱりここまで追いついたね。,"敌03]So, you came here too, huh?",敌03]Quả nhiên ngươi cũng truy tới nơi này rồi nhỉ.,
自2]诶？原来是你么？,自2]え？あんただった？,"自2]Oh, so it's you?",自2]Hể? Thì ra là ngươi sao?,
敌00]我被很强烈的气息吸引过来，看样子是大事件喔。,敌00]強い気配に惹きつけられたのよ。大事件みたいね。,敌00]I came here for that intense scent... It looks like something big is going on.,"敌00]Ta bị một hơi khí rất mãnh liệt hấp dẫn mà tới, coi bộ là sự kiện lớn đây.",
自3]蕾米莉亚那家伙果然又在搞鬼吗！,自3]レミリアのやつ、やっぱロクなことしない！,自3]I'm guessing it's Remilia again.,自3]Ả Remilia quả nhiên lại đang giở trò rồi!,
敌00]顺便，就让我在此展现我真正的实力吧，反正也是最后一关了呢。,敌00]ついでに真の力を見せてあげるよ、どうせラストステージだし。,"敌00]Since we are here, let me show you what I can do. It is, after all, the last stage.","敌00]Tiện thể, hãy để ta giương ra thực lực chân chính của ta tại đây đi, dù gì cũng là ải cuối rồi mà.",
自3]喂，我可没兴趣再教训你一遍喔！,自3]おい！もう一度ボコる気はないよ！,"自3]Hey! I'm not interested in doing this again, OK?","自3]Này, ta không hề có hứng thú giáo huấn ngươi lại tập hai đâu!",
敌00]当黑暗降临之后，这里就是你的坟墓了！,敌00]闇が降りた時、ここはきみの墓となる！,"敌00]When the darkness falls, this place shall become your grave!","敌00]Sau khi bóng tối giáng lâm, nơi này chính là mộ của ngươi rồi!",
,,,,
d602.txt,,,,
自1]阿咧，又是你……,自1]あれ、またお前か…,"自1]Oh, you again...","自1]Ủa, lại là ngươi…",
敌03]你也被吸引到这里来了呢。,敌03]きみもここに惹きつけられたよね。,"敌03]I see you've been brought here, too.",敌03]Ngươi cũng bị hấp dẫn tới nơi này rồi nhỉ.,
自0]什么啊，我只是在找异变的源头啦。,自0]なによ、こっちは異変の元凶を探してんだよ。,自0]I'm just looking for the root of the incident.,"自0]Cái gì vậy, ta chỉ là đang tìm ngọn nguồn của dị biến thôi.",
敌00]没感觉到吗，蔓延在空气中的气息，好像把妖怪都吸引过来了呢。,敌00]気づいてない？空気に漂う気配、まるですべての妖怪を引き付けたようだ。,敌00]Haven't you noticed yet? The scent diffusing through the air is luring Youkai here.,"敌00]Chưa cảm thấy được à, cái hơi khí lan tràn trong không khí.. dường như hấp dẫn tất cả yêu quái tới rồi đó.",
自3]哈？话说我可不是妖怪喔。,自3]は？こっちは妖怪じゃねえよ。,自3]What? I'm not a Youkai.,自3]Hả? Đằng này ta đâu phải yêu quái.,
敌00]不是妖怪却很粗鲁呢。,敌00]妖怪じゃないのに乱暴ね。,"敌00]Aren't you a bit too rude for a human, though?",敌00]Không phải yêu quái mà lại rất thô lỗ nhỉ.,
自2]看来不好好打一场不行呢。,自2]ちゃんと戦わねえわけが、ねえか。,"自2]Come on, let's fight.",自2]Xem ra không đánh một trận ngon nghẻ thì không được nhể.,
敌00]正好，让你看看我真正的实力吧！,敌00]なら丁度いい、ほんとの実力を見せてあげるね！,"敌00]I was just thinking the same. Then, let me show you my true power!","敌00]Vừa đẹp, cho ngươi xem tí thực lực chân chính của ta đây!",
,,,,
d603.txt,,,,
自2]什么啊，又是你……,自2]何よ、また貴方ですか…,自2]What? You again...?,"自2]Cái gì hả, lại là ngươi…",
敌00]我只是被很强烈的气息吸引过来的喔。,敌00]強い気配に惹きつけられただけなのよ。,敌00]I'm just here for the intense scent.,敌00]Ta chỉ là bị cái 'hơi khí mãnh liệt' hấp dẫn tới đây thôi.,
自2]气息？没感觉到啊。,自2]気配？感じなかったけど。,自2]The scent? What do you mean?,自2]Hơi khí? Ta chẳng cảm thấy được.,
敌00]看来是只有妖怪才能分辨出来的信息呢。,敌00]どうやら妖怪にしか見分けられない情報ね。,敌00]Maybe only Youkai can tell the difference.,敌00]Xem ra là thông điệp mà chỉ có yêu quái mới có thể phân biện ra được nhỉ.,
自3]原来如此……我大概明白怎么回事了呢。,自3]なるほど…大体わかったわ。,自3]I see what's going on here.,自3]Thì ra là vậy… Đại khái ta hiểu rõ sự thể ra làm sao rồi.,
敌00]看来你的疑问似乎解开了呢。,敌00]疑問が解いたみたいね。,敌00]It seems like you've figured it out.,敌00]Xem ra nghi vấn của ngươi hình như tháo gỡ rồi nhỉ.,
自3]总之，先把你退治了再说！,自3]とりあえず貴方を退治してから！,自3]Enough talk! I should just exterminate you first!,"自3]Trước hết, thoái trị ngươi cái đã rồi nói sau!",
敌00]既然这样的话……,敌00]そう来るのなら…,"敌00]Well, if you put it that way...",敌00]Nếu mà đã như thế…,
敌00]那就让你感受下我真正的实力吧！,敌00]ほんとの実力を感じさせてあげるね！,"敌00]Then, it's time for me to show you I mean business!",敌00]Vậy thì cho ngươi cảm thụ thực lực chân chính của ta đây!,
,,,,
d604.txt,,,,
自0]看来你也发现了呢。,自0]貴女も発見したようだね,"自0]So you found it out, too?",自0]Xem ra ngươi cũng phát hiện rồi nhỉ?,
敌00]我是被那股奇怪的气息吸引过来的。,敌00]あの変な気配に惹きつけられたのよ。,敌00]I'm here for that intense scent.,敌00]Ta bị làn hơi khí kỳ lạ kia hấp dẫn tới thôi.,
自0]这样吗……将妖怪们都吸引到这边来……,自0]そうか…妖怪を皆ここに引き付くか…,自0]I see... luring all the youkai here...,自0]Như vậy à… hấp dẫn tất cả yêu quái đến bên đây….,
自0]想要来一场“盛大的宴会”吗……,自0]「盛大なる宴会」のつもりか…,自0]For a grand banquet maybe...?,"自0]Muốn mở một cuộc ""Yến tiệc Long trọng"" sao…?",
敌00]宴会？听起来很有趣嘛。,敌00]宴会？面白そうに聞こえるね。,敌00]A banquet? Sounds fun.,敌00]Yến tiệc? Nghe có vẻ rất thú vị mà.,
自0]来的估计都是些和她品味相同的妖怪吧……,自0]大体、来たのは皆彼女と同じ趣味の妖怪だろう…,自0]Those Youkai probably came here after the same taste as her...,自0]Đoán chừng đến đây đều là những yêu quái có thị hiếu tương đồng với cô ta…,
敌00]这样说我可不高兴喔……,敌00]それは嬉しくないよ…,敌00]I don't appreciate the way you're talking...,敌00]Ngươi nói như vậy ta chả thích thú gì…,
敌00]既然到了这里，那就让你见识下我真正的实力吧！,敌00]もうここまで来ちゃったし、ほんとの実力を見せてあげるか！,"敌00]Since we are here, I might as well show you what I can do!","敌00]Nếu đã đến nơi này rồi, vậy thì cho ngươi mở mang kiến thức bằng chút thực lực chân chính của ta đây!",
,,,,
d611.txt,,,,
敌51]啊啦啊啦，灵梦酱，好久不见……,敌51]あらあら、霊夢ちゃん、久しぶり…,"敌51]Oh, long time no see, Reimu chan...","敌51]Ái chà ái chà, bé Reimu, lâu lắm không gặp…",
敌52]有没有被我的气场吓到呢~,敌52]わたくしのオーラに圧倒された～？,"敌52]Intimidated by my power, maybe?",敌52]Có bị cơn khí của ta dọa hay không nhỉ~,
自3]少来了，难道吸血鬼的记性都这么差吗？,自3]よしなさい。吸血鬼ってみんな記憶力弱いの？,"自3]Come on, I wonder if all you vampires have a memory like a sieve.","自3]Thôi giùm đi, chẳng lẽ trí nhớ của ma cà-rồng đều kém như vậy sao?",
敌50]那倒不是喔，只是这一次不一样呢。,敌50]そうじゃない。ただ今回は桁が違う。,敌50]I wouldn't say that. And it's different this time.,"敌50]Chẳng phải thế đâu, chỉ là lần này không giống thôi.",
自0]说到底你就是异变的始作俑者啦。,自0]何と言っても、あんたが異変の元凶ね。,"自0]So, you're the reason for this incident, after all.",自0]Nói cho cùng thì ngươi chính là kẻ đầu têu dị biến rồi.,
敌55]别这么说，这次只是想举办一场更大的宴会而已嘛。,敌55]そういうな。今回はただ、もっと大きな宴会がしたいだけ。,"敌55]Oh, don't say that. I only wanted to throw a bigger banquet.","敌55]Đừng nói như vậy, lần này chỉ là ta muốn cử hành một buổi yến tiệc lớn hơn mà thôi.",
自2]宴会？不对，难道是……,自2]宴会？いや、まさか…,"自2]A banquet? No, more like a...","自2]Yến tiệc? Không đúng, chẳng lẽ là…",
敌50]向妖怪们发出的邀请喔。,敌50]妖怪たちへの、招待よ。,"敌50]Yes, an invitation to all Youkai.",敌50]Là lời mời phát ra đến các yêu quái đấy.,
自3]喂，你是想怎样……不过你这家伙的宴会谁会来啊？！,自3]何考えてるんだよあんたは…でも誰があんたのようなやつの宴会に来るかよ？！,"自3]Hey, what do you want for real... And who will your guests be!?","自3]Này, cho dù ngươi muốn đến thế nào… nhưng yến tiệc của nhà ngươi thì ai sẽ đến cơ chứ?!",
